Club,Postcode,Entry Round,Location Status
1874 Northwich FC,CW8 4LH,Extra Preliminary Round,verified
Abbey Hey FC,M18 7HD,Extra Preliminary Round,verified
Abbey Hulton United FC,ST2 8DD,Extra Preliminary Round,verified
Abbey Rangers FC,KT15 2QH,Extra Preliminary Round,verified
Abingdon United FC,OX14 1PL,Extra Preliminary Round,verified
AFC Croydon Athletic,CR7 6DN,Preliminary Round,verified
AFC Fylde,PR4 3JZ,Fourth Round Qualifying,supporting-evidence
AFC Greenwich Borough,BR2 8HQ,Extra Preliminary Round,verified
AFC Liverpool,L30 1NY,Extra Preliminary Round,verified
AFC Mansfield,NG19 0EE,Extra Preliminary Round,verified
AFC Portchester,PO16 9DP,Preliminary Round,verified
AFC Rushden & Diamonds,NN10 0HX,Extra Preliminary Round,verified
AFC Stoneham,SO16 2PA,Extra Preliminary Round,verified
AFC Sudbury,CO10 7HN,Preliminary Round,verified
AFC Telford United,TF1 2TU,Second Round Qualifying,supporting-evidence
AFC Totton,SO40 2RW,Second Round Qualifying,supporting-evidence
AFC Varndeanians,BN1 5JD,Extra Preliminary Round,verified
AFC Welwyn,EN6 1QB,Extra Preliminary Round,verified
AFC Whyteleafe,CR3 0AR,First Round Qualifying,supporting-evidence
AFC Wolverhampton City,WV3 8NA,Extra Preliminary Round,verified
Albion Sports FC,BD3 8QX,Extra Preliminary Round,verified
Aldershot Town FC,GU11 1TW,Fourth Round Qualifying,supporting-evidence
Alfreton Town FC,DE55 7FZ,First Round Qualifying,verified
Alton FC,GU34 2NB,Extra Preliminary Round,verified
Altrincham FC,WA15 8AP,Fourth Round Qualifying,verified
Alvechurch FC,B48 7RS,First Round Qualifying,verified
Amersham Town FC,HP7 0EJ,Extra Preliminary Round,verified
Andover New Street FC,SP10 2QH,Extra Preliminary Round,verified
Anstey Nomads FC,LE7 7BP,First Round Qualifying,supporting-evidence
Ardley United FC,OX27 7PA,Extra Preliminary Round,verified
Arlesey Town FC,SG15 6RS,Extra Preliminary Round,verified
Ascot United FC,SL5 7LJ,Extra Preliminary Round,verified
Ashby Ivanhoe FC,LE65 1TS,Extra Preliminary Round,verified
Ashford Town (Middx) FC,TW19 7BH,Extra Preliminary Round,verified
Ashford United FC,TN26 1NJ,Extra Preliminary Round,verified
Ashington FC,NE63 9YF,Extra Preliminary Round,verified
Ashton United FC,OL6 8DY,First Round Qualifying,verified
Atherstone Town CFC,CV9 3AD,Extra Preliminary Round,verified
Atherton Collieries FC,M46 9EY,Extra Preliminary Round,verified
Atherton LR FC,M46 9XG,Extra Preliminary Round,verified
Aveley FC,RM15 4PX,First Round Qualifying,supporting-evidence
Avro FC,OL8 3JH,First Round Qualifying,supporting-evidence
Aylesbury United FC,HP5 1NE,Extra Preliminary Round,verified
Aylesbury Vale Dynamos FC,HP19 9WZ,Extra Preliminary Round,verified
Aylestone Park FC,LE2 6TG,Extra Preliminary Round,verified
